RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session1DateUtc,Session2,Session2Date,Session2DateUtc,Session3,Session3Date,Session3DateUtc,Session4,Session4Date,Session4DateUtc,Session5,Session5Date,Session5DateUtc,F1ApiSupport
2,Monaco,Monte-Carlo,,1960-05-29 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1960-05-27 00:00:00,Practice 2,,1960-05-27 00:00:00,Practice 3,,1960-05-28 00:00:00,Qualifying,,1960-05-28 00:00:00,Race,,1960-05-29 00:00:00,False
3,USA,Indianapolis,,1960-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,,1960-05-28 00:00:00,Practice 2,,1960-05-28 00:00:00,Practice 3,,1960-05-29 00:00:00,Qualifying,,1960-05-29 00:00:00,Race,,1960-05-30 00:00:00,False
4,Netherlands,Zandvoort,,1960-06-06 00:00:00,Dutch Grand Prix,conventional,Practice 1,,1960-06-04 00:00:00,Practice 2,,1960-06-04 00:00:00,Practice 3,,1960-06-05 00:00:00,Qualifying,,1960-06-05 00:00:00,Race,,1960-06-06 00:00:00,False
5,Belgium,Spa,,1960-06-19 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1960-06-17 00:00:00,Practice 2,,1960-06-17 00:00:00,Practice 3,,1960-06-18 00:00:00,Qualifying,,1960-06-18 00:00:00,Race,,1960-06-19 00:00:00,False
6,France,Reims,,1960-07-03 00:00:00,French Grand Prix,conventional,Practice 1,,1960-07-01 00:00:00,Practice 2,,1960-07-01 00:00:00,Practice 3,,1960-07-02 00:00:00,Qualifying,,1960-07-02 00:00:00,Race,,1960-07-03 00:00:00,False
7,UK,Silverstone,,1960-07-16 00:00:00,British Grand Prix,conventional,Practice 1,,1960-07-14 00:00:00,Practice 2,,1960-07-14 00:00:00,Practice 3,,1960-07-15 00:00:00,Qualifying,,1960-07-15 00:00:00,Race,,1960-07-16 00:00:00,False
8,Portugal,Oporto,,1960-08-14 00:00:00,Portuguese Grand Prix,conventional,Practice 1,,1960-08-12 00:00:00,Practice 2,,1960-08-12 00:00:00,Practice 3,,1960-08-13 00:00:00,Qualifying,,1960-08-13 00:00:00,Race,,1960-08-14 00:00:00,False
9,Italy,Monza,,1960-09-04 00:00:00,Italian Grand Prix,conventional,Practice 1,,1960-09-02 00:00:00,Practice 2,,1960-09-02 00:00:00,Practice 3,,1960-09-03 00:00:00,Qualifying,,1960-09-03 00:00:00,Race,,1960-09-04 00:00:00,False
10,USA,California,,1960-11-20 00:00:00,United States Grand Prix,conventional,Practice 1,,1960-11-18 00:00:00,Practice 2,,1960-11-18 00:00:00,Practice 3,,1960-11-19 00:00:00,Qualifying,,1960-11-19 00:00:00,Race,,1960-11-20 00:00:00,False
1,Monaco,Monte-Carlo,,1961-05-14 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1961-05-12 00:00:00,Practice 2,,1961-05-12 00:00:00,Practice 3,,1961-05-13 00:00:00,Qualifying,,1961-05-13 00:00:00,Race,,1961-05-14 00:00:00,False
